Time [s], II
0,0.14453
0.008,0.15625
0.016,0.15625
0.024,0.16016
0.032,0.16016
0.04,0.19531
0.048,0.31445
0.056,0.42969
0.064,0.50586
0.072,0.41016
0.08,0.080078
0.088,0.025391
0.096,0.13086
0.104,0.15625
0.112,0.17578
0.12,0.17969
0.128,0.18555
0.136,0.18945
0.144,0.20117
0.152,0.20508
0.16,0.20508
0.168,0.21094
0.176,0.2207
0.184,0.2207
0.192,0.23047
0.2,0.23438
0.208,0.24609
0.216,0.25586
0.224,0.25977
0.232,0.26562
0.24,0.26562
0.248,0.27539
0.256,0.27539
0.264,0.27539
0.272,0.2793
0.28,0.2793
0.288,0.26562
0.296,0.24609
0.304,0.22461
0.312,0.20508
0.32,0.17969
0.328,0.16602
0.336,0.15625
0.344,0.15039
0.352,0.15625
0.36,0.16992
0.368,0.17969
0.376,0.18945
0.384,0.19531
0.392,0.20117
0.4,0.20117
0.408,0.20508
0.416,0.21094
0.424,0.21484
0.432,0.21484
0.44,0.2207
0.448,0.21484
0.456,0.21484
0.464,0.21094
0.472,0.21484
0.48,0.2207
0.488,0.25
0.496,0.27539
0.504,0.28516
0.512,0.29492
0.52,0.33594
0.528,0.35938
0.536,0.34961
0.544,0.33008
0.552,0.29102
0.56,0.26562
0.568,0.27539
0.576,0.25586
0.584,0.20508
0.592,0.16992
0.6,0.15625
0.608,0.15039
0.616,0.14062
0.624,0.14453
0.632,0.13477
0.64,0.14062
0.648,0.14453
0.656,0.14453
0.664,0.14453
0.672,0.15039
0.68,0.17578
0.688,0.28516
0.696,0.41602
0.704,0.49414
0.712,0.50586
0.72,0.095703
0.728,0.019531
0.736,0.11523
0.744,0.13477
0.752,0.16016
0.76,0.16602
0.768,0.16992
0.776,0.18555
0.784,0.18555
0.792,0.18945
0.8,0.19531
0.808,0.20508
0.816,0.20508
0.824,0.21484
0.832,0.21484
0.84,0.23047
0.848,0.23047
0.856,0.23438
0.864,0.25
0.872,0.25586
0.88,0.25586
0.888,0.25977
0.896,0.26953
0.904,0.27539
0.912,0.27539
0.92,0.26953
0.928,0.25586
0.936,0.24609
0.944,0.23047
0.952,0.20117
0.96,0.17578
0.968,0.16016
0.976,0.15039
0.984,0.15039
0.992,0.16016
1,0.17578
1.008,0.18945
1.016,0.19531
1.024,0.20508
1.032,0.20117
1.04,0.20508
1.048,0.21094
1.056,0.21094
1.064,0.21484
1.072,0.21484
1.08,0.21484
1.088,0.2207
1.096,0.22461
1.104,0.2207
1.112,0.22461
1.12,0.2207
1.128,0.25
1.136,0.2793
1.144,0.29102
1.152,0.28516
1.16,0.3457
1.168,0.35938
1.176,0.37109
1.184,0.33594
1.192,0.29492
1.2,0.26953
1.208,0.2793
1.216,0.25
1.224,0.20117
1.232,0.16602
1.24,0.16016
1.248,0.14453
1.256,0.14453
1.264,0.14062
1.272,0.14453
1.28,0.14453
1.288,0.15039
1.296,0.15625
1.304,0.15039
1.312,0.16016
1.32,0.17578
1.328,0.29102
1.336,0.41992
1.344,0.51953
1.352,0.43945
1.36,0.095703
1.368,0.041016
1.376,0.14062
1.384,0.14453
1.392,0.17578
1.4,0.16992
1.408,0.16602
1.416,0.16602
1.424,0.17969
1.432,0.18555
1.44,0.19531
1.448,0.19531
1.456,0.20117
1.464,0.20508
1.472,0.21094
1.48,0.21484
1.488,0.2207
1.496,0.22461
1.504,0.23047
1.512,0.23438
1.52,0.24023
1.528,0.25
1.536,0.25586
1.544,0.25977
1.552,0.25586
1.56,0.25977
1.568,0.24023
1.576,0.23047
1.584,0.21094
1.592,0.19531
1.6,0.16602
1.608,0.15039
1.616,0.14453
1.624,0.14453
1.632,0.15625
1.64,0.17969
1.648,0.18555
1.656,0.19531
1.664,0.20117
1.672,0.20117
1.68,0.20508
1.688,0.20508
1.696,0.20508
1.704,0.20508
1.712,0.21094
1.72,0.21094
1.728,0.21484
1.736,0.21484
1.744,0.21484
1.752,0.22461
1.76,0.23047
1.768,0.25586
1.776,0.29102
1.784,0.29102
1.792,0.31055
1.8,0.34961
1.808,0.375
1.816,0.35938
1.824,0.33984
1.832,0.30078
1.84,0.28516
1.848,0.30078
1.856,0.26562
1.864,0.21094
1.872,0.18555
1.88,0.17969
1.888,0.17578
1.896,0.16016
1.904,0.16016
1.912,0.16992
1.92,0.16602
1.928,0.16016
1.936,0.16602
1.944,0.16992
1.952,0.17578
1.96,0.21094
1.968,0.32031
1.976,0.45508
1.984,0.58984
1.992,0.5
2,0.15625
2.008,0.12109
2.016,0.20117
2.024,0.18555
2.032,0.18945
2.04,0.18945
2.048,0.18555
2.056,0.18945
2.064,0.19531
2.072,0.20117
2.08,0.20508
2.088,0.20508
2.096,0.21094
2.104,0.21484
2.112,0.2207
2.12,0.23047
2.128,0.24609
2.136,0.23438
2.144,0.24023
2.152,0.25
2.16,0.25586
2.168,0.25586
2.176,0.25977
2.184,0.26562
2.192,0.25586
2.2,0.25586
2.208,0.24609
2.216,0.22461
2.224,0.20117
2.232,0.17578
2.24,0.16016
2.248,0.14062
2.256,0.14453
2.264,0.14453
2.272,0.16016
2.28,0.17969
2.288,0.18945
2.296,0.20117
2.304,0.21094
2.312,0.22461
2.32,0.23047
2.328,0.23047
2.336,0.23047
2.344,0.23438
2.352,0.23047
2.36,0.23438
2.368,0.23438
2.376,0.23438
2.384,0.23438
2.392,0.24023
2.4,0.24609
2.408,0.26953
2.416,0.30078
2.424,0.30078
2.432,0.31445
2.44,0.35547
2.448,0.38086
2.456,0.36523
2.464,0.33984
2.472,0.30078
2.48,0.2793
2.488,0.29492
2.496,0.26562
2.504,0.22461
2.512,0.18555
2.52,0.17969
2.528,0.17578
2.536,0.16992
2.544,0.16602
2.552,0.16016
2.56,0.16602
2.568,0.16602
2.576,0.16992
2.584,0.16602
2.592,0.17578
2.6,0.20508
2.608,0.32422
2.616,0.46484
2.624,0.58984
2.632,0.4707
2.64,0.11523
2.648,0.085938
2.656,0.17969
2.664,0.17578
2.672,0.18945
2.68,0.18555
2.688,0.18945
2.696,0.19531
2.704,0.20508
2.712,0.21094
2.72,0.21094
2.728,0.22461
2.736,0.23047
2.744,0.23047
2.752,0.23438
2.76,0.24609
2.768,0.25
2.776,0.25977
2.784,0.26562
2.792,0.27539
2.8,0.27539
2.808,0.27539
2.816,0.27539
2.824,0.28516
2.832,0.28516
2.84,0.2793
2.848,0.26562
2.856,0.25586
2.864,0.23438
2.872,0.21094
2.88,0.18945
2.888,0.17969
2.896,0.16992
2.904,0.17578
2.912,0.18555
2.92,0.20508
2.928,0.21484
2.936,0.22461
2.944,0.23047
2.952,0.23047
2.96,0.23438
2.968,0.23438
2.976,0.23438
2.984,0.23438
2.992,0.23438
3,0.23438
3.008,0.24609
3.016,0.24609
3.024,0.25
3.032,0.25
3.04,0.25586
3.048,0.26953
3.056,0.31055
3.064,0.32031
3.072,0.33008
3.08,0.35938
3.088,0.39453
